product_model_id,family_hint,category_hint,popularity_priority,brand,normalized_brand,product_name,normalized_name,confidence,mean_confidence,evidence_count,source_domain_count,product_domain_count,source_roles,official_source_count,marketplace_source_count,json_ld_record_count,best_url,best_image_url,price,currency,availability,market_status,category_evidence,transformation_evidence,name_token_count,verified_for_volume,included_in_volume
model-283e71d61e87,origami,origami canoe,2,oricanoe,oricanoe,MyCanoe Folding Canoe for two: Duo 2,mycanoe two duo 2,0.815,0.815,1,1,1,known_official,1,0,0,https://www.oricanoe.com/products/mycanoe-foldable-origami-canoe-duo,https://www.oricanoe.com/cdn/shop/files/ChatGPT_Image_Apr_12_2026_10_24_58_AM_600x.png?v=1776003977,,,,active_or_listed,1.0,0.75,4,True,True
model-37580897b5b1,foldable,solar panel,1,goalzero,goalzero,Nomad Solar Panels | Goal Zero,nomad panels goal zero,0.815,0.815,1,1,1,known_official,1,0,0,https://goalzero.com/collections/nomad-portable-solar-panels-folding,https://cdn.shopify.com/s/files/1/0520/1156/5225/collections/dfc0a46ddf114c76bc318db61803b0dd.png?v=1714751715,,,,active_or_listed,1.0,0.5,4,True,True
model-015d8cab7444,foldable,foldable display,2,lenovo,lenovo,"Lenovo ThinkPad X1 Fold (16"" Intel) | Seamless, folding 16.3 ...Lenovo ThinkPad X1 Fold (16"" Intel) | Seamless, folding 16.3 ...Lenovo ThinkPad X1 Fold (16"" Intel) | Seamless, folding 16.3 ...ThinkPad X1 Fold PC | Earn 3X Rewards | Lenovo USThinkPad X1 Fold | The world’s first foldable PC - LenovoThinkPad, ThinkPad X1 Fold 16 Gen 1, Model:21ES0026SQ - PSREFFoldable Product Display Shelves - Products From Popular Brands",thinkpad x1 fold 16 intel seamless 16 3 thinkpad x1 fold 16 intel seamless,0.77,0.77,2,1,1,known_official,2,0,0,https://www.lenovo.com/us/outletus/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-fold/21es001fus,,,,,active_or_listed,1.0,0.5,14,True,True
model-189110190048,origami,origami kayak,1,orukayak,orukayak,Oru Coast,oru coast,0.77,0.77,2,2,2,known_official,2,0,0,https://www.orukayak.com/products/the-coast-xt?color=White&model=Base,http://checkout.orukayak.com/cdn/shop/files/Coast_Cayen_1200x1200.png?v=1766762851,,,,active_or_listed,1.0,0.5,2,True,True
model-2bcb700c6179,origami,origami canoe,2,oricanoe,oricanoe,MyCanoe Solo 2: Origami Folding Canoe Boat,mycanoe solo 2 boat,0.77,0.77,1,1,1,known_official,1,0,0,https://www.oricanoe.com/products/mycanoe-solo-2-origami-folding-canoe-boat,https://www.oricanoe.com/cdn/shop/files/MyCanoe-Solo-2-Origami-Folding-Boat-00_600x.jpg?v=1684348329,,,,active_or_listed,1.0,0.5,4,True,True
model-33dbe3e279e4,collapsible,water bottle,1,vapur,vapur,Collapsible Water Bottles | Vapur | Live Flexible,bottles live flexible,0.77,0.77,1,1,1,known_official,1,0,0,https://vapur.us/products/1-5l-wide-mouth-anti-bottle,http://vapur.us/cdn/shop/files/1.png?v=1729541359,,,,active_or_listed,1.0,0.5,3,True,True
model-7032de9b4754,modular,modular tool storage,1,dewalt,dewalt,TSTAK® Modular Mobile Tower (3-Piece),tstak mobile tower 3 piece,0.77,0.77,1,1,1,known_official,1,0,0,https://www.dewalt.com/en-us/product/dwst60404/tstak-modular-mobile-tower-3-piece,https://assets.dewalt.com/NAG/PRODUCT/IMAGES/HIRES/WHITEBG/Ecomm_Large-DWST60404_1.jpg,,,,active_or_listed,1.0,0.5,5,True,True
model-7d39350612db,origami,origami kayak,1,orukayak,orukayak,Oru Inlet,oru inlet,0.77,0.77,1,1,1,known_official,1,0,0,https://www.orukayak.com/products/oru-kayak-portable-folding-lightweight-recreational-kayak-for-beginners,,,,,active_or_listed,1.0,0.25,2,True,True
model-886a48f4a57f,foldable,solar panel,1,goalzero,goalzero,Nomad 20,nomad 20,0.77,0.77,1,1,1,known_official,1,0,0,https://goalzero.com/products/nomad-20-solar-panel,http://goalzero.com/cdn/shop/products/e192d9b70592d76da293b7ad233a303d_1_1024x1024.jpg?v=1617734655,,,,active_or_listed,1.0,0.5,2,True,True
model-ad18139572e2,foldable,foldable display,2,lenovo,lenovo,"Lenovo ThinkPad X1 Fold (16"" Intel) | Seamless, folding 16.3 ...ThinkPad X1 Fold PC | Earn 3X Rewards | Lenovo USThinkPad X1 Fold | The world’s first foldable PC - LenovoThinkPad, ThinkPad X1 Fold 16 Gen 1, Model:21ES0026SQ - PSREFFoldable Product Display Shelves - Products From Popular Brands",thinkpad x1 fold 16 intel seamless 16 3 thinkpad x1 fold pc earn 3x,0.77,0.77,1,1,1,known_official,1,0,0,https://www.lenovo.com/us/outletus/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-fold/len101t0047,,,,,active_or_listed,1.0,0.5,14,True,True
model-ae416723ea23,origami,origami canoe,2,oricanoe,oricanoe,Duo 2 Adventure Set,duo 2 adventure,0.77,0.77,1,1,1,known_official,1,0,0,https://www.oricanoe.com/products/mycanoe-duo-and-accessory-kit,https://www.oricanoe.com/cdn/shop/files/MyCanoe-Duo-Accessory-Kit-1_600x.jpg?v=1685997549,,,,active_unavailable_or_out_of_stock,1.0,0.5,3,True,True
model-b007d0438947,collapsible,water bottle,1,hydrapak,hydrapak,Water Bottles For Hiking,bottles hiking,0.77,0.77,1,1,1,known_official,1,0,0,https://www.hydrapak.com/collections/collapsible-bottles-for-hiking,http://www.hydrapak.com/cdn/shop/files/hp_image.png?v=1700089676,,,,active_or_listed,1.0,0.25,2,True,True
model-a9895fd26348,modular,modular tool storage,1,milwaukeetool,milwaukeetool,PACKOUT Power Tool and Accessory Storage System | Milwaukee Tool,packout power tool accessory milwaukee tool,0.762,0.762,1,1,1,known_official,1,0,0,https://www.milwaukeetool.com/products/storage-solutions/packout,https://www.milwaukeetool.com/--/web-images/sc/0d214d981fd64106981ca5bb450d45eb?hash=903a55c18e4a4d622900871b45704083&lang=en,,,,active_or_listed,0.667,0.75,6,True,True
model-301369413fa5,foldable,folding e-bike,1,lectricebikes,lectricebikes,Foldable Electric Bikes | Lectric eBikes,electric bikes lectric ebikes,0.735,0.69,2,1,1,known_official,2,0,0,https://lectricebikes.com/collections/folding-ebikes,http://lectricebikes.com/cdn/shop/collections/3.0-collection-cover_8a83f105-1f5c-40bf-8240-97dca69a58aa.jpg?v=1707866170,,,,active_or_listed,0.5,0.75,5,True,True
model-ecf9ffbcc26f,foldable,solar panel,1,ecoflow,ecoflow,Solar Panels for Home - EcoFlow Us,panels home us,0.735,0.735,1,1,1,known_official,1,0,0,https://us.ecoflow.com/collections/solar-panels,https://us.ecoflow.com/cdn/shop/files/10_5a13be20-2930-4c5c-8736-89f96ffc0d61.jpg?v=1741686539,,,,active_or_listed,0.5,0.75,3,True,True
model-c59cc55eaac3,modular,modular storage cubes,1,target,target,"Heynemo Cube Storage Organizer with Sliding Door, Stackable ... - Target",heynemo cube organizer sliding door,0.73,0.73,1,1,1,known_official,1,0,0,https://www.target.com/p/heynemo-cube-storage-organizer-with-sliding-door-white-stackable-bookshelf-wooden-modular-cubby-storage-system-set-of-1/-/A-1002286458,,,,,active_or_listed,1.0,0.5,5,True,True
model-fa98c5074d6b,collapsible,water bottle,1,hydrapak,hydrapak,Collapsible & Hard-Sided Water Bottles | HydraPak,hard sided bottles,0.725,0.725,3,2,2,known_official,3,0,0,https://www.hydrapak.com/collections/water-bottles/1l-32oz,http://www.hydrapak.com/cdn/shop/files/hp_image.png?v=1700089676,,,,active_or_listed,1.0,0.5,3,True,True
model-7c2c4ebe98fd,foldable,foldable smartphone,1,motorola,motorola,Discover the Motorola Foldable Phone Featuring an Expansive 8.1-Inch Foldable Display | motorola razr fold | motorola US | motorola,discover featuring an expansive 8 1 inch razr fold us,0.725,0.675,2,1,1,known_official,2,0,0,https://www.motorola.com/us/en/p/phones/razr/motorola-razr-fold/pmipmjj43my,//p1-ofp.static.pub//fes/cms/2026/05/21/0ct75w4dp4tf37uc3l3gz4ljsbctt4095861.png,,,,active_or_listed,1.0,0.25,10,True,True
model-ca67b0b0c948,modular,modular mechanical keyboard,1,keychron,keychron,Keychron Q60 QMK Custom Mechanical Keyboard,q60 qmk custom mechanical,0.725,0.702,2,1,1,known_official,2,0,0,https://www.keychron.com/products/keychron-q60-qmk-custom-mechanical-keyboard,http://www.keychron.com/cdn/shop/products/Keychron-Q60-QMK-VIA-Custom-Mechanical-Keyboard-HHKB-Layout-Gateron-G-Pro-Switch-Red.jpg?crop=center&height=1200&v=1669109732&width=1200,,,,active_or_listed,1.0,0.25,4,True,True
model-21b68fc1b595,origami,paper microscope,2,foldscope,foldscope,"Explorer Kit - Foldscope Instruments, Inc.",explorer instruments inc,0.725,0.725,1,1,1,known_official,1,0,0,https://foldscope.com/products/explorer-kit-foldscope-paper-microscope,,,,,active_or_listed,1.0,0.25,3,True,True
model-309df99e8198,modular,modular tool storage,1,dewalt,dewalt,TOUGHSYSTEM 2.0® Three-Drawer Tool Box,toughsystem 2 0 three drawer tool box,0.725,0.725,1,1,1,known_official,1,0,0,https://www.dewalt.com/en-us/product/dwst08330/toughsystem-20-three-drawer-tool-box,https://assets.dewalt.com/NAG/PRODUCT/IMAGES/HIRES/WHITEBG/DWST08330_1.jpg,,,,active_or_listed,1.0,0.25,7,True,True
model-40876d4c6166,origami,origami kayak,1,orukayak,orukayak,Oru Bay,oru bay,0.725,0.725,1,1,1,known_official,1,0,0,https://www.orukayak.com/products/bay-st?color=Black+&model=Base,,,,,active_or_listed,1.0,0.5,2,True,True
model-458e2d6cc2fe,origami,origami kayak,1,orukayak,orukayak,Oru Lake,oru lake,0.725,0.725,1,1,1,known_official,1,0,0,https://www.orukayak.com/products/lake,,,,,active_or_listed,1.0,0.25,2,True,True
model-5ddda43cf784,modular,modular mechanical keyboard,1,keychron,keychron,"Keychron Mechanical Keyboards | Wireless, Custom & Gaming Keyboards",mechanical keyboards wireless custom gaming keyboards,0.725,0.725,1,1,1,known_official,1,0,0,https://www.keychron.com/collections/all-products,,,,,active_or_listed,1.0,0.25,6,True,True
model-6ebb2bb0146b,rollable,solar charger,1,powerfilmsolar,powerfilmsolar,LightSaver Portable Solar Chargers,lightsaver chargers,0.725,0.725,1,1,1,known_official,1,0,0,https://www.powerfilmsolar.com/products/lightsavers,,,,,active_or_listed,1.0,0.5,2,True,True
model-948292f94d0f,modular,modular backpack,2,boundarysupply,boundarysupply,Optimal Modular Bag & Backpack Systems | Boundary Supply,optimal bag backpack systems boundary supply,0.725,0.725,1,1,1,known_official,1,0,0,https://www.boundarysupply.com/collections/modular-pack-systems/style_backpack,,,,,active_or_listed,1.0,0.25,6,True,True
model-9f3e598ac938,collapsible,water bottle,1,vapur,vapur,"Flexible Water Bottles, Anti-Bottles | Vapur | Live Flexible",flexible bottles anti bottles live flexible,0.725,0.725,1,1,1,known_official,1,0,0,https://vapur.us/collections/anti-bottles,http://vapur.us/cdn/shop/collections/anti.webp?v=1754949453,,,,active_or_listed,1.0,0.25,6,True,True
model-a7d43395e96c,modular,modular power station,1,bluettipower,bluettipower,Portable Power Stations,power stations,0.725,0.725,1,1,1,known_official,1,0,0,https://www.bluettipower.com/collections/power-stations,https://www.bluettipower.com/cdn/shop/collections/AC200P.jpg?v=1698635993,,,,active_or_listed,1.0,0.25,2,True,True
model-a962b4e1147b,modular,modular backpack,2,boundarysupply,boundarysupply,Flagship Backpacks: Premium Modular Carry - Boundary Supply,flagship backpacks premium carry boundary supply,0.725,0.725,1,1,1,known_official,1,0,0,https://www.boundarysupply.com/collections/flagship,,,,,active_or_listed,1.0,0.25,6,True,True
model-af66e811d30b,modular,modular backpack,2,peakdesign,peakdesign,Travel Backpack 45L | Peak Design Official Site,travel backpack 45l peak design site,0.725,0.725,1,1,1,known_official,1,0,0,https://www.peakdesign.com/global/products/travel-backpack?Size=45L&Color=Black,,,,,active_or_listed,1.0,0.5,6,True,True
model-b077f087743b,collapsible,water bottle,1,vapur,vapur,For Pup on the Move - Popular Products - Vapur,pup on move,0.725,0.725,1,1,1,known_official,1,0,0,https://vapur.us/collections/popular-products,,,,,active_or_listed,1.0,0.25,3,True,True
model-bd32a9118d97,modular,modular storage cubes,1,target,target,Mount-It! Modular Cube Storage Organizer - 9 Cubes - Target,mount it cube organizer 9 cubes,0.725,0.725,1,1,1,known_official,1,0,0,https://www.target.com/p/mount-it-modular-cube-storage-organizer-9-cubes/-/A-89486512,,,,,active_or_listed,1.0,0.25,6,True,True
