query_id,query,query_kind,family_hint,category_hint,popularity_priority,search_rank,source_title,source_snippet,url,normalized_url,domain,source_role,discovery_stage,final_url,status_code,fetch_ok,fetch_message,page_title,page_description,product_record_count,discovered_product_link_count,search_result_fallback_count,category_scrape_count
mq-00261,foldable computer mouse official product,general,foldable,computer mouse,2,1,"Microsoft Surface Arc Mouse (Light Gray, Bluetooth, Touch)","The product sold by the eligible retailer must be identical to the product ... Offer valid for reimbursements after trade in of a qualifying device (PC, laptop, ...",https://www.microsoft.com/en-us/d/surface-arc-mouse/8p5sv2rx3rn5,https://microsoft.com/en-us/d/surface-arc-mouse/8p5sv2rx3rn5,microsoft.com,known_official,search_result,https://www.microsoft.com/en-us/d/surface-arc-mouse/8p5sv2rx3rn5,,False,"allowed; HTTPSConnectionPool(host='www.microsoft.com', port=443): Max retries exceeded with url: /en-us/d/surface-arc-mouse/8p5sv2rx3rn5 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='www.microsoft.com', port=443): Read timed out. (read timeout=7.0)""))",,,1,0,1,1
mq-00079,foldable bluetooth keyboard product model,general,foldable,bluetooth keyboard,1,1,"Amazon.com: ProtoArc Foldable Bluetooth Keyboard, XK01 Full-Size ...","Product description A 105-key foldable wireless keyboard delivers a true desktop experience with dedicated function/number pads—for professionals who refuse to compromise on layout, comfort or integrity.",https://www.amazon.com/Bluetooth-ProtoArc-XK01-Full-Size-Smartphone/dp/B09TW35H1Z,https://amazon.com/Bluetooth-ProtoArc-XK01-Full-Size-Smartphone/dp/B09TW35H1Z,amazon.com,marketplace,search_result,https://www.amazon.com/Bluetooth-ProtoArc-XK01-Full-Size-Smartphone/dp/B09TW35H1Z,200.0,True,allowed,Amazon,Amazon,1,0,0,1
mq-00127,foldable headphones official product,general,foldable,headphones,1,1,Best Foldable Headphones in 2026: Top 5 Picks - soundcore,Discover the best foldable headphones of 2026 with our guide. Explore our reviews of the top 5 picks and learn what to consider for comfort and quality sound.,https://www.soundcore.com/blogs/headphones/best-foldable-headphones,https://soundcore.com/blogs/headphones/best-foldable-headphones,soundcore.com,known_official,search_result,https://www.soundcore.com/blogs/headphones/best-foldable-headphones,200.0,True,allowed,Best Foldable Headphones in 2026: Top 5 Picks,Discover the best foldable headphones of 2026 with our guide. Explore our reviews of the top 5 picks and learn what to consider for comfort and quality sound.,1,9,0,1
mq-00109,folding bicycle official product,general,foldable,folding bicycle,1,1,DAHON – World's Largest Folding Bike Brand,"The world’s largest producer of folding bicycles. DAHON-V undoubtedly solidifies DAHON’s reputation as a stellar innovation in the cycling industry. “DAHON-V” represents the culmination of DAHON’s technology innovations, challenging the industry norms. Benelux's top folder.",https://dahon.com/,https://dahon.com,dahon.com,known_official,search_result,https://dahon.com/,200.0,True,robots_unavailable_allowed:404,DAHON – World's Largest Folding Bike Brand,"Easy Fold, compact, lightweight, built-to-last. Explore our folding bikes, e-bikes, and road bikes. Perfect for everyday work, travelling, and off-road riding.",1,0,0,1
mq-00120,folding electric bike manufacturer product,general,foldable,folding e-bike,1,1,DAHON - World's Largest Folding Bike Brand,"Easy Fold, compact, lightweight, built-to-last. Explore our folding bikes, e-bikes, and road bikes. Perfect for everyday work, travelling, and off-road riding.",https://dahon.com/,https://dahon.com,dahon.com,known_official,search_result,https://dahon.com/,200.0,True,robots_unavailable_allowed:404,DAHON – World's Largest Folding Bike Brand,"Easy Fold, compact, lightweight, built-to-last. Explore our folding bikes, e-bikes, and road bikes. Perfect for everyday work, travelling, and off-road riding.",1,0,0,1
mq-00256,foldable bicycle helmet official product,general,foldable,bicycle helmet,2,7,Amazon.com: Folding Bike Helmet,Browse a wide range of foldable helmets for all riders. Get safety-certified options with smart-fold technology and comfortable fit systems.,https://www.amazon.com/folding-bike-helmet/s?k=folding+bike+helmet,https://amazon.com/folding-bike-helmet/s,amazon.com,marketplace,search_result,https://www.amazon.com/folding-bike-helmet/s?k=folding+bike+helmet,,False,"allowed; HTTPSConnectionPool(host='www.amazon.com', port=443): Max retries exceeded with url: /folding-bike-helmet/s?k=folding+bike+helmet (Caused by ResponseError('too many 503 error responses'))",,,1,0,1,1
mq-00106,site:motorola.com foldable smartphone product,known_official_site,foldable,foldable smartphone,1,1,Discover the Motorola Foldable Phone Featuring an Expansive 8 ...,Upgrade to a next-gen foldable smartphone with a large foldable display and premium craftsmanship. The future of foldable phones is here with motorola razr fold.,https://www.motorola.com/we/en/razr-fold-2026,https://motorola.com/we/en/razr-fold-2026,motorola.com,known_official,search_result,https://www.motorola.com/we/en/razr-fold-2026,200.0,True,allowed,Discover the Motorola Foldable Phone Featuring an Expansive 8.1-Inch Foldable Display | motorola razr fold | motorola GB | motorola,Upgrade to a next-gen foldable smartphone with a large foldable display and premium craftsmanship. The future of foldable phones is here with motorola razr fold.,1,1,0,1
mq-00277,foldable OLED laptop product model,general,foldable,foldable laptop,2,1,asus.com/ru/laptops/for-home/zenbook/zenbook-17-fold-oled-ux9702,4 сценария использования Zenbook 17 Fold OLED.,https://www.asus.com/ru/laptops/for-home/zenbook/zenbook-17-fold-oled-ux9702/,https://asus.com/ru/laptops/for-home/zenbook/zenbook-17-fold-oled-ux9702,asus.com,known_official,search_result,https://www.asus.com/ru/laptops/for-home/zenbook/zenbook-17-fold-oled-ux9702/,200.0,True,allowed,Zenbook 17 Fold OLED UX9702｜Ноутбуки для дома｜ASUS в России,"Zenbook 17 Fold OLED – инновационное устройство с 17,3” сенсорным OLED-дисплеем, который может моментально складываться до компактного формата 12,5”. Тонкорамочный дисплей обладает великолепными характеристиками: высокое разрешение 2,5K сочетается в нем с точной цветопередачей (сертификация Pantone), расширенным динамическим диапазоном (Dolby Vision) и отличной эргономикой (низкий уровень синего света, подтвержденный сертификатом TÜV Rheinland). Устройство оснащается процессором Intel Core 12 поколения, а его ауди…",1,0,0,1
mq-00268,foldable display product model,general,foldable,foldable display,2,1,Galaxy Z Fold7 | AI Foldable Phone - Samsung US,"Unfold Galaxy Z Fold7—a foldable phone with a 200MP camera, immersive screen for multitasking and editing, powerful Galaxy AI, and all-day battery for work or play.",https://www.samsung.com/us/smartphones/galaxy-z-fold7/,https://samsung.com/us/smartphones/galaxy-z-fold7,samsung.com,known_official,search_result,https://www.samsung.com/us/smartphones/galaxy-z-fold7/,200.0,True,allowed,Galaxy Z Fold7 | AI Foldable Phone | Samsung US | Samsung US,"Unfold Galaxy Z Fold7—a foldable phone with a 200MP camera, immersive screen for multitasking and editing, powerful Galaxy AI, and all-day battery for work or play.",1,0,0,1
mq-00284,foldable monitor official product,general,foldable,portable monitor,2,2,Amazon.com: Folding Monitor,"Discover foldable portable monitors with kickstands and adjustable angles. Ideal for extending your display for work, design, and entertainment.",https://www.amazon.com/folding-monitor/s?k=folding+monitor,https://amazon.com/folding-monitor/s,amazon.com,marketplace,search_result,https://www.amazon.com/folding-monitor/s?k=folding+monitor,,False,"allowed; HTTPSConnectionPool(host='www.amazon.com', port=443): Max retries exceeded with url: /folding-monitor/s?k=folding+monitor (Caused by ResponseError('too many 503 error responses'))",,,1,0,1,1
mq-00098,site:dji.com folding drone product,known_official_site,foldable,drone,1,1,DJI Flip - Open New Possibilities - DJI United States,DJI Flip is DJI's first drone equipped with a foldable full-coverage propeller guard. [5] The guard features a carbon fiber support structure that is only 1/60 the weight of traditional Polycarbonate (PC) material while maintaining the same stiffness.,https://www.dji.com/flip,https://dji.com/flip,dji.com,known_official,search_result,https://www.dji.com/tw/flip,200.0,True,allowed,DJI Flip - 遠近皆入畫，人景皆出彩 - DJI 中國台灣,DJI Flip 是 DJI 無人機革新之作，以精巧之姿，攜卓越影像實力震撼登場。 無需遙控器也能掌上起飛，隨拍隨行；更有智慧跟拍，將主角穩穩鎖定在 C 位；創新可摺疊全包保護罩設計，輕巧與安全兼得。 能遠攝風光，亦能近拍人像，將美好盡收鏡頭之下。,1,1,0,1
mq-00146,foldable stroller product model,general,foldable,stroller,1,3,Amazon.com: Folding Baby Stroller,"Gromast Compact Fold Baby Stroller, Lightweight Travel Toddler Stroller with One-Click Fold, Extendable UPF50+ Canopy, Cup Holder, UV Protected and Waterproof, One-Hand Folding - Black",https://www.amazon.com/folding-baby-stroller/s?k=folding+baby+stroller,https://amazon.com/folding-baby-stroller/s,amazon.com,marketplace,search_result,https://www.amazon.com/folding-baby-stroller/s?k=folding+baby+stroller,,False,"allowed; HTTPSConnectionPool(host='www.amazon.com', port=443): Max retries exceeded with url: /folding-baby-stroller/s?k=folding+baby+stroller (Caused by ResponseError('too many 503 error responses'))",,,1,0,1,1
mq-00158,folding wagon buy product,general,foldable,wagon,1,1,Folding Wagons in Camping Furniture,"Shop for Folding Wagons in Camping Furniture. Buy products such as Ozark Trail Camping All-terrain Folding Wagon with Oversized Wheels, Blue at Walmart and save.",https://www.walmart.com/browse/sports-outdoors/folding-wagons/4125_546956_4128_1080625_9360203,https://walmart.com/browse/sports-outdoors/folding-wagons/4125_546956_4128_1080625_9360203,walmart.com,marketplace,search_result,https://www.walmart.com/blocked?url=L2Jyb3dzZS9zcG9ydHMtb3V0ZG9vcnMvZm9sZGluZy13YWdvbnMvNDEyNV81NDY5NTZfNDEyOF8xMDgwNjI1XzkzNjAyMDM=&uuid=2970c51c-57e5-11f1-b21e-6bcb86202883&vid=&g=b,200.0,True,allowed,Robot or human?,,1,0,0,1
mq-00084,folding camping chair product model,general,foldable,camping chair,1,1,"Ozark Trail Quad Folding Camp Chair with Cup Holder, Black","The Ozark Trail Basic Quad Folding Camp Chair features a steel frame, 225 lb capacity, polyester fabric with PE coating, built-in mesh cup holder, and folds compactly for easy",https://www.walmart.com/ip/Ozark-Trail-Basic-Quad-Folding-Camp-Chair-with-Cup-Holder-Black/983249623,https://walmart.com/ip/Ozark-Trail-Basic-Quad-Folding-Camp-Chair-with-Cup-Holder-Black/983249623,walmart.com,marketplace,search_result,https://www.walmart.com/blocked?url=L2lwL096YXJrLVRyYWlsLUJhc2ljLVF1YWQtRm9sZGluZy1DYW1wLUNoYWlyLXdpdGgtQ3VwLUhvbGRlci1CbGFjay85ODMyNDk2MjM=&uuid=29ae5ff2-57e5-11f1-8976-36c011c7528d&vid=&g=b,200.0,True,allowed,Robot or human?,,1,0,0,1
mq-00088,folding camping table official product,general,foldable,camping table,1,1,Camp Tables: Portable Folding Tables | REI Co-op,"Shop for Camp Tables at REI - Browse our extensive selection of trusted outdoor brands and high-quality recreation gear. Top quality, great selection and expert advice you can trust. 100% Satisfaction Guarantee",https://www.rei.com/c/camp-tables,https://rei.com/c/camp-tables,rei.com,marketplace,search_result,https://www.rei.com/c/camp-tables,403.0,False,robots_unavailable_allowed:403; http_status:403,,,0,0,0,1
mq-00136,foldable solar panel official product,general,foldable,solar panel,1,1,"Jackery Best Solar Generators, Portable Power Stations & Solar Panels","Discover Jackery solar generators, portable power stations, and solar panels built for essential home backup, RV adventures, and camping.",https://www.jackery.com/,https://jackery.com,jackery.com,known_official,search_result,https://www.jackery.com/,200.0,True,allowed,"Jackery Best Solar Generators, Portable Power Stations & Solar Panels","Discover Jackery solar generators, portable power stations, and solar panels built for essential home backup, RV adventures, and camping.",1,16,0,1
mq-00152,folding treadmill manufacturer product,general,foldable,treadmill,1,1,High-Performance electric treadmill manufacturer for Efficient...,"Elevate your fitness routine with high-performance electric treadmill manufacturer . Experience smooth, quiet operation and customizable workout programs for all fitness levels.",https://www.alibaba.com/showroom/electric-treadmill-manufacturer.html,https://alibaba.com/showroom/electric-treadmill-manufacturer.html,alibaba.com,marketplace,search_result,https://www.alibaba.com/showroom/electric-treadmill-manufacturer.html,200.0,True,allowed,High-Performance electric treadmill manufacturer for Efficient Workouts and Cardio Training,"Elevate your fitness routine with high-performance electric treadmill manufacturer . Experience smooth, quiet operation and customizable workout programs for all fitness levels.",1,0,1,1
mq-00290,folding wheelchair product model,general,foldable,wheelchair,2,4,"Amazon.com: Ultra-Lightweight Folding Wheelchair, Travel ...","Product summary presents key product information · Ultra-Lightweight Folding Wheelchair, Travel Wheelchairs with Foldable Pedals and Flip-Backs Arms, Handbrake & ...",https://www.amazon.com/Ultra-Lightweight-Wheelchair-Wheelchairs-Flip-Backs-Handbrake/dp/B0DG24NFB5,https://amazon.com/Ultra-Lightweight-Wheelchair-Wheelchairs-Flip-Backs-Handbrake/dp/B0DG24NFB5,amazon.com,marketplace,search_result,https://www.amazon.com/Ultra-Lightweight-Wheelchair-Wheelchairs-Flip-Backs-Handbrake/dp/B0DG24NFB5,200.0,True,allowed,Amazon,Amazon,1,1,0,1
mq-00077,site:platypushydration.com collapsible water bottle product,known_official_site,collapsible,water bottle,1,1,platypushydration.com,"Platypus® hydration systems, water bottles and water treatment.",http://www.platypushydration.com/,http://platypushydration.com,platypushydration.com,known_official,search_result,https://cascadedesigns.com/,200.0,True,allowed,"Cascade Designs, Inc.","Innovative Solutions for your outdoor adventures. Therm-a-Rest, MSR, Platypus, SealLine, PackTowl, Varilite",1,1,1,1
mq-00057,site:camelbak.com collapsible soft flask product,known_official_site,collapsible,soft flask,1,1,17oz QUICK STOW™ Flask,"This lightweight, collapsible flask features our classic one-piece silicone bite valve for rapid hydration on race day, and packs down easily once it's empty. We designed the Quick Stow to fit easily in the front compartments of all of our running vests.",https://www.camelbak.com/product/17oz-quick-stow™-flask/CB-1914.html,https://camelbak.com/product/17oz-quick-stow™-flask/CB-1914.html,camelbak.com,known_official,search_result,https://www.camelbak.com/product/17oz-quick-stow%E2%84%A2-flask/CB-1914.html,200.0,True,allowed,17oz QUICK STOW™ Flask,Shop 17oz Quick Stow Flask at CamelBak.,1,2,0,1
mq-00024,collapsible cup product model,general,collapsible,cup,1,4,Stojo is sustainable living made simple. – Stojo Products Inc.,"Big Stojo Fan. This cup is so convenient, I have a few! They make packing up my diaper bag super easy.Leak-proof, collapsible, reusable cups help you protect our planet.",https://stojo.co/,https://stojo.co,stojo.co,known_official,search_result,https://stojo.co/,200.0,True,allowed,Stojo is sustainable living made simple.,Optimize your life with our award-winning compact food storage and portable drinkware rooted in sustainability and safety.,1,3,0,1
mq-00012,collapsible coffee cup official product,general,collapsible,coffee cup,1,1,Stojo is sustainable living made simple. – Stojo Products Inc.,"Leak-proof, collapsible, reusable cups help you protect our planet.stojo-box-bottle-bowl-cup-picnic.jpg. One step closer to saving the world. Switching to reusables is a simple yet powerful way to reduce your environmental impact.",https://stojo.co/,https://stojo.co,stojo.co,known_official,search_result,https://stojo.co/,200.0,True,allowed,Stojo is sustainable living made simple.,Optimize your life with our award-winning compact food storage and portable drinkware rooted in sustainability and safety.,1,3,0,1
mq-00005,collapsible bowl current model,general,collapsible,bowl,1,1,Amazon Best Sellers: Best Camping Bowls,"MIUPOO Collapsible Bowl Set,Portable Mess Kit,Food Grade Material Free Folding Bowl for Lunch Family Picnic,7×5.5×3.5 Inches,4 Pieces. #22.",https://www.amazon.com/Best-Sellers-Camping-Bowls/zgbs/sporting-goods/3400711,https://amazon.com/Best-Sellers-Camping-Bowls/zgbs/sporting-goods/3400711,amazon.com,marketplace,search_result,https://www.amazon.com/Best-Sellers-Camping-Bowls/zgbs/sporting-goods/3400711,200.0,True,allowed,Amazon Best Sellers,Discover the best Camping Bowls in Best Sellers. Find the top 100 most popular items in Amazon Sports & Outdoors Best Sellers.,1,16,0,1
