intent,target_market_category,query
expand,computer peripheral,computer peripheral foldable collapsible product official
fill_gap,portable keyboard,portable keyboard foldable collapsible product official
expand,foldable computer,foldable computer foldable collapsible product official
expand,foldable smartphone,foldable smartphone foldable collapsible product official
fill_gap,foldable monitor,foldable monitor foldable collapsible product official
expand,folding bicycle,folding bicycle foldable collapsible product official
expand,folding e-bike,folding e-bike foldable collapsible product official
expand,urban mobility safety,urban mobility safety foldable collapsible product official
expand,folding watercraft,folding watercraft foldable collapsible product official
expand,foldable solar panel,foldable solar panel foldable collapsible product official
expand,folding drone,folding drone foldable collapsible product official
expand,portable workstation,portable workstation foldable collapsible product official
expand,folding furniture,folding furniture foldable collapsible product official
expand,collapsible drinkware,collapsible drinkware foldable collapsible product official
fill_gap,collapsible cookware,collapsible cookware foldable collapsible product official
fill_gap,collapsible storage,collapsible storage foldable collapsible product official
expand,collapsible outdoor gear,collapsible outdoor gear foldable collapsible product official
expand,rollable electronics,rollable electronics foldable collapsible product official
expand,inflatable recreation,inflatable recreation foldable collapsible product official
expand,scientific education,scientific education foldable collapsible product official
expand,foldable headphones,foldable headphones foldable collapsible product official
expand,folding bicycle,Montague folding bicycle official product
expand,folding e-bike,Montague folding e-bike official product
expand,foldable headphones,foldable headphones official product fold flat
expand,foldable headphones,swivel foldable headphones official product
